T(163) = 13366, divs 8, max divs 48
T(164) = 13530, divs 32, max divs 48
T(165) = 13695, divs 16, max divs 48
T(166) = 13861, divs 4, max divs 48
T(167) = 14028, divs 24, max divs 48
T(168) = 14196, divs 36, max divs 48
T(169) = 14365, divs 12, max divs 48
T(170) = 14535, divs 24, max divs 48
T(171) = 14706, divs 24, max divs 48
T(172) = 14878, divs 8, max divs 48
T(173) = 15051, divs 8, max divs 48
T(174) = 15225, divs 24, max divs 48
T(175) = 15400, divs 48, max divs 48
T(176) = 15576, divs 32, max divs 48
T(177) = 15753, divs 8, max divs 48
T(178) = 15931, divs 4, max divs 48
T(179) = 16110, divs 24, max divs 48
T(180) = 16290, divs 24, max divs 48
T(181) = 16471, divs 8, max divs 48
T(182) = 16653, divs 16, max divs 48
T(183) = 16836, divs 24, max divs 48
T(184) = 17020, divs 24, max divs 48
T(185) = 17205, divs 16, max divs 48
T(186) = 17391, divs 16, max divs 48
T(187) = 17578, divs 16, max divs 48
T(188) = 17766, divs 32, max divs 48
T(189) = 17955, divs 32, max divs 48
T(190) = 18145, divs 8, max divs 48
T(191) = 18336, divs 24, max divs 48
T(192) = 18528, divs 24, max divs 48
T(193) = 18721, divs 4, max divs 48
T(194) = 18915, divs 16, max divs 48
T(195) = 19110, divs 48, max divs 48
T(196) = 19306, divs 12, max divs 48
T(197) = 19503, divs 12, max divs 48
T(198) = 19701, divs 12, max divs 48
T(199) = 19900, divs 18, max divs 48
T(200) = 20100, divs 36, max divs 48
T(201) = 20301, divs 8, max divs 48
T(202) = 20503, divs 8, max divs 48
T(203) = 20706, divs 32, max divs 48
T(204) = 20910, divs 32, max divs 48
T(205) = 21115, divs 8, max divs 48
T(206) = 21321, divs 12, max divs 48
T(207) = 21528, divs 48, max divs 48
T(208) = 21736, divs 32, max divs 48
T(209) = 21945, divs 32, max divs 48
T(210) = 22155, divs 16, max divs 48
T(211) = 22366, divs 8, max divs 48
T(212) = 22578, divs 16, max divs 48
T(213) = 22791, divs 8, max divs 48
T(214) = 23005, divs 8, max divs 48
T(215) = 23220, divs 48, max divs 48
T(216) = 23436, divs 48, max divs 48
T(217) = 23653, divs 8, max divs 48
T(218) = 23871, divs 8, max divs 48
T(219) = 24090, divs 32, max divs 48
T(220) = 24310, divs 32, max divs 48
T(221) = 24531, divs 16, max divs 48
T(222) = 24753, divs 8, max divs 48
T(223) = 24976, divs 20, max divs 48
T(224) = 25200, divs 90, max divs 90
T(225) = 25425, divs 18, max divs 90
T(226) = 25651, divs 4, max divs 90
T(227) = 25878, divs 16, max divs 90
T(228) = 26106, divs 16, max divs 90
T(229) = 26335, divs 8, max divs 90
T(230) = 26565, divs 32, max divs 90
T(231) = 26796, divs 48, max divs 90
T(232) = 27028, divs 12, max divs 90
T(233) = 27261, divs 12, max divs 90
T(234) = 27495, divs 24, max divs 90
T(235) = 27730, divs 16, max divs 90
T(236) = 27966, divs 16, max divs 90
T(237) = 28203, divs 16, max divs 90
T(238) = 28441, divs 8, max divs 90
T(239) = 28680, divs 32, max divs 90
T(240) = 28920, divs 32, max divs 90
T(241) = 29161, divs 6, max divs 90
T(242) = 29403, divs 18, max divs 90
T(243) = 29646, divs 24, max divs 90
T(244) = 29890, divs 24, max divs 90
T(245) = 30135, divs 24, max divs 90
T(246) = 30381, divs 16, max divs 90
T(247) = 30628, divs 24, max divs 90
T(248) = 30876, divs 24, max divs 90
T(249) = 31125, divs 16, max divs 90
T(250) = 31375, divs 8, max divs 90
T(251) = 31626, divs 24, max divs 90
T(252) = 31878, divs 48, max divs 90
T(253) = 32131, divs 8, max divs 90
T(254) = 32385, divs 16, max divs 90
T(255) = 32640, divs 64, max divs 90
